topic,source,negative,neutral,positive,negative_neutral_diff,positive_neutral_diff
0_эвакуации_эвакуация_гуманитарных_коридоров,NovayaGazeta,0.333,0.667,0.0,0.334,0.667
0_эвакуации_эвакуация_гуманитарных_коридоров,WashingtonPost,0.333,0.667,0.0,0.334,0.667
0_эвакуации_эвакуация_гуманитарных_коридоров,TACC,0.302,0.617,0.081,0.315,0.536
0_эвакуации_эвакуация_гуманитарных_коридоров,ShockedUkraine,0.603,0.328,0.069,0.27499999999999997,0.259
0_эвакуации_эвакуация_гуманитарных_коридоров,RIANews,0.325,0.578,0.097,0.25299999999999995,0.481
0_эвакуации_эвакуация_гуманитарных_коридоров,NYT,0.4,0.6,0.0,0.19999999999999996,0.6
0_эвакуации_эвакуация_гуманитарных_коридоров,BBC,0.54,0.373,0.087,0.16700000000000004,0.28600000000000003
0_эвакуации_эвакуация_гуманитарных_коридоров,UkraineNow,0.506,0.384,0.11,0.122,0.274
0_эвакуации_эвакуация_гуманитарных_коридоров,RBK,0.444,0.463,0.093,0.019000000000000017,0.37
0_эвакуации_эвакуация_гуманитарных_коридоров,Meduza,0.483,0.472,0.045,0.01100000000000001,0.427
0_эвакуации_эвакуация_гуманитарных_коридоров,UNIAN,0.44,0.431,0.13,0.009000000000000008,0.301
0_эвакуации_эвакуация_гуманитарных_коридоров,Ukraine24,0.452,0.452,0.097,0.0,0.355
100_взрывах_сообщают_украина_взрыве,ShockedUkraine,1.0,0.0,0.0,1.0,0.0
100_взрывах_сообщают_украина_взрыве,WashingtonPost,0.0,1.0,0.0,1.0,1.0
100_взрывах_сообщают_украина_взрыве,NYT,0.0,1.0,0.0,1.0,1.0
100_взрывах_сообщают_украина_взрыве,BBC,0.857,0.143,0.0,0.714,0.143
100_взрывах_сообщают_украина_взрыве,Ukraine24,0.25,0.75,0.0,0.5,0.75
100_взрывах_сообщают_украина_взрыве,UNIAN,0.571,0.143,0.286,0.42799999999999994,0.143
100_взрывах_сообщают_украина_взрыве,RIANews,0.667,0.333,0.0,0.334,0.333
